symbol,status,display_label,signal,previous_signal,signal_date,sector,industry,trend,momentum,optionable,reason
ACV,LEADER,🚀 LEADER,BUY,BUY,"Aug 13, 2026",Financials,Closed-End Fund - Equity,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ADAM,REMOVED,❌ REMOVED,,BUY,"Aug 05, 2026",Real Estate,REIT - Mortgage,,,,Prior BUY is missing or no longer rated BUY
ADBE,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Jul 14, 2026",Technology,Software - Application,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
ADC,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 31, 2026",Real Estate,REIT - Retail,DOWNTREND,MOVING DOWN,,No active BUY transition
ADEA,LEADER,🚀 LEADER,BUY,BUY,"Aug 06, 2026",Technology,Software - Application,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ADI,LEADER,🚀 LEADER,BUY,BUY,"Aug 14, 2026",Technology,Semiconductors,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ADM,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 31, 2026",Staples,Farm Products,NEUTRAL,MOVING DOWN,,No active BUY transition
ADNT,UNCHANGED,UNCHANGED,,SELL,"Aug 07, 2026",Discretionary,Auto Parts,,,,Previously inactive symbol is absent
ADP,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Technology,Software - Application,UPTREND,MOVING DOWN,,No active BUY transition
ADPT,REMOVED,❌ REMOVED,,BUY,"Aug 11, 2026",Health Care,Diagnostics & Research,,,,Prior BUY is missing or no longer rated BUY
ADSK,LEADER,🚀 LEADER,BUY,BUY,"Jul 17, 2026",Technology,Software - Application,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ADUS,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 05, 2026",Health Care,Medical Care Facilities,UPTREND,MOVING DOWN,,No active BUY transition
ADX,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 24, 2026",Financials,Closed-End Fund - Equity,UPTREND,MOVING DOWN,,No active BUY transition
AEE,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 14, 2026",Utilities,Utilities - Regulated Electric,DOWNTREND,MOVING DOWN,,No active BUY transition
AEHR,LEADER,🚀 LEADER,BUY,BUY,"Aug 05, 2026",Technology,Semiconductor Equipment & Materials,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AEIS,LEADER,🚀 LEADER,BUY,BUY,"Aug 07, 2026",Industrials,Electrical Equipment & Parts,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AEM,LEADER,🚀 LEADER,BUY,BUY,"Aug 06, 2026",Materials,Gold,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AEO,UNCHANGED,UNCHANGED,,SELL,"Aug 13, 2026",Discretionary,Apparel Retail,,,,Previously inactive symbol is absent
AEP,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 14, 2026",Utilities,Utilities - Regulated Electric,DOWNTREND,MOVING DOWN,,No active BUY transition
AER,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Industrials,Rental & Leasing Services,UPTREND,MOVING DOWN,,No active BUY transition
AES,UNCHANGED,UNCHANGED,,SELL,"Aug 04, 2026",Utilities,Utilities - Diversified,,,,Previously inactive symbol is absent
AESI,UNCHANGED,UNCHANGED,,,,Energy,Oil & Gas Equipment & Services,,,,Previously inactive symbol is absent
AEVA,REMOVED,❌ REMOVED,,BUY,"Aug 07, 2026",Technology,Software - Infrastructure,,,,Prior BUY is missing or no longer rated BUY
AEXA,UNCHANGED,UNCHANGED,,,,Financials,Shell Companies,,,,Previously inactive symbol is absent
AFB,UNCHANGED,UNCHANGED,,SELL,"Jul 08, 2026",Financials,Closed-End Fund - Debt,,,,Previously inactive symbol is absent
AFBI,UNCHANGED,UNCHANGED,,SELL,"Aug 03, 2026",Financials,Banks - Regional,,,,Previously inactive symbol is absent
AFG,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 20, 2026",Financials,Insurance - Property & Casualty,UPTREND,MOVING DOWN,,No active BUY transition
AFJK,UNCHANGED,UNCHANGED,,,,Financials,Shell Companies,,,,Previously inactive symbol is absent
AFL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 06, 2026",Financials,Insurance - Life,DOWNTREND,MOVING DOWN,,No active BUY transition
AFRM,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 08, 2026",Financials,Credit Services,UPTREND,MOVING UP,,No active BUY transition
AFYA,UNCHANGED,UNCHANGED,,SELL,"Jul 09, 2026",Staples,Education & Training Services,,,,Previously inactive symbol is absent
AG,REMOVED,❌ REMOVED,,BUY,"Aug 10, 2026",Materials,Silver,,,,Prior BUY is missing or no longer rated BUY
AGCO,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 31, 2026",Industrials,Farm & Heavy Construction Machinery,DOWNTREND,MOVING DOWN,,No active BUY transition
AGD,UNCHANGED,UNCHANGED,,,,Financials,Closed-End Fund - Foreign,,,,Previously inactive symbol is absent
AGI,LEADER,🚀 LEADER,BUY,BUY,"Aug 10, 2026",Materials,Gold,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AGIO,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 15, 2026",Health Care,Biotechnology,DOWNTREND,MOVING UP,,No active BUY transition
AGL,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 27, 2026",Health Care,Medical Care Facilities,NEUTRAL,MOVING UP,,No active BUY transition
AGM,LEADER,🚀 LEADER,BUY,BUY,"Jul 30, 2026",Financials,Credit Services,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AGNC,REMOVED,❌ REMOVED,,BUY,"Aug 14, 2026",Real Estate,REIT - Mortgage,,,,Prior BUY is missing or no longer rated BUY
AGO,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 24, 2026",Financials,Insurance - Specialty,DOWNTREND,MOVING DOWN,,No active BUY transition
AGX,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 09, 2026",Industrials,Engineering & Construction,DOWNTREND,MOVING UP,,No active BUY transition
AGYS,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 22, 2026",Technology,Software - Application,UPTREND,MOVING DOWN,,No active BUY transition
AHR,UNCHANGED,UNCHANGED,,,,Real Estate,REIT - Healthcare Facilities,NEUTRAL,,,No active BUY transition
AI,REMOVED,❌ REMOVED,,BUY,"Aug 04, 2026",Technology,Software - Infrastructure,,,,Prior BUY is missing or no longer rated BUY
AIG,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 24, 2026",Financials,Insurance - Diversified,DOWNTREND,MOVING DOWN,,No active BUY transition
AII,UNCHANGED,UNCHANGED,,,,Financials,Insurance - Property & Casualty,,,,Previously inactive symbol is absent
AIN,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 06, 2026",Discretionary,Textile Manufacturing,DOWNTREND,MOVING DOWN,,No active BUY transition
AIO,LEADER,🚀 LEADER,BUY,BUY,"Aug 13, 2026",Financials,Closed-End Fund - Equity,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AIP,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 06, 2026",Technology,Semiconductors,DOWNTREND,MOVING UP,,No active BUY transition
AIR,LEADER,🚀 LEADER,BUY,BUY,"Aug 03, 2026",Industrials,Aerospace & Defense,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AIRO,UNCHANGED,UNCHANGED,,,,Industrials,Aerospace & Defense,,,,Previously inactive symbol is absent
AIRT,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 06, 2026",Industrials,Conglomerates,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
AIT,LEADER,🚀 LEADER,BUY,BUY,"Jul 24, 2026",Industrials,Industrial Distribution,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AIZ,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 14, 2026",Financials,Insurance - Property & Casualty,UPTREND,MOVING DOWN,,No active BUY transition
AJG,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 10, 2026",Financials,Insurance Brokers,UPTREND,MOVING DOWN,,No active BUY transition
AKA,UNCHANGED,UNCHANGED,,,,Discretionary,Apparel Retail,,,,Previously inactive symbol is absent
AKAM,LEADER,🚀 LEADER,BUY,BUY,"Aug 14, 2026",Technology,Software - Infrastructure,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AKO/B,LEADER,🚀 LEADER,BUY,BUY,"Aug 06, 2026",Staples,Beverages - Non-Alcoholic,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AKR,UNCHANGED,UNCHANGED,,SELL,"Aug 06, 2026",Real Estate,REIT - Retail,,,,Previously inactive symbol is absent
ALAB,UNCHANGED,UNCHANGED,,,,Technology,Semiconductors,DOWNTREND,,,No active BUY transition
ALB,LEADER,🚀 LEADER,BUY,BUY,"Aug 12, 2026",Materials,Specialty Chemicals,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ALC,LEADER,🚀 LEADER,BUY,BUY,"Aug 05, 2026",Health Care,Medical Instruments & Supplies,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ALCO,LEADER,🚀 LEADER,BUY,BUY,"Aug 13, 2026",Staples,Farm Products,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ALDF,UNCHANGED,UNCHANGED,,,,Financials,Shell Companies,,,,Previously inactive symbol is absent
ALF,UNCHANGED,UNCHANGED,,,,Financials,Shell Companies,,,,Previously inactive symbol is absent
ALG,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 07, 2026",Industrials,Farm & Heavy Construction Machinery,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
ALGM,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 07, 2026",Technology,Semiconductors,DOWNTREND,MOVING UP,,No active BUY transition
ALGN,EMERGING,🔥 EMERGING,BUY,SELL,"Aug 17, 2026",Health Care,Medical Instruments & Supplies,UPTREND,MOVING UP,,New BUY with rising trend and accelerating momentum
ALGT,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 13, 2026",Industrials,Airlines,DOWNTREND,MOVING DOWN,,No active BUY transition
ALH,UNCHANGED,UNCHANGED,,,,Discretionary,Furnishings Fixtures & Appliances,NEUTRAL,,,No active BUY transition
ALHC,UNCHANGED,UNCHANGED,,,,Health Care,Healthcare Plans,,,,Previously inactive symbol is absent
ALIT,UNCHANGED,UNCHANGED,,SELL,"Jul 20, 2026",Technology,Software - Application,,,,Previously inactive symbol is absent
ALK,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 14, 2026",Industrials,Airlines,DOWNTREND,MOVING DOWN,,No active BUY transition
ALKS,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 13, 2026",Health Care,Drug Manufacturers - Specialty & Generic,NEUTRAL,MOVING DOWN,,No active BUY transition
ALKT,UNCHANGED,UNCHANGED,,SELL,"Aug 12, 2026",Technology,Software - Application,,,,Previously inactive symbol is absent
ALL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Financials,Insurance - Property & Casualty,UPTREND,MOVING DOWN,,No active BUY transition
ALLE,REMOVED,❌ REMOVED,SELL,BUY,"Aug 17, 2026",Industrials,Security & Protection Services,UPTREND,MOVING DOWN,,Prior BUY is missing or no longer rated BUY
ALLY,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 07, 2026",Financials,Credit Services,NEUTRAL,MOVING UP,,No active BUY transition
ALMS,UNCHANGED,UNCHANGED,,,,Health Care,Biotechnology,DOWNTREND,,,No active BUY transition
ALMU,UNCHANGED,UNCHANGED,,,,Technology,Semiconductors,,,,Previously inactive symbol is absent
ALNT,LEADER,🚀 LEADER,BUY,BUY,"Aug 06, 2026",Technology,Electronic Components,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ALNY,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 15, 2026",Health Care,Biotechnology,DOWNTREND,MOVING UP,,No active BUY transition
ALOT,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 06, 2026",Technology,Computer Hardware,UPTREND,MOVING DOWN,,No active BUY transition
ALRM,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Technology,Software - Application,UPTREND,MOVING DOWN,,No active BUY transition
ALSN,LEADER,🚀 LEADER,BUY,BUY,"Aug 05, 2026",Discretionary,Auto Parts,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ALV,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 14, 2026",Discretionary,Auto Parts,UPTREND,MOVING DOWN,,No active BUY transition
ALX,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 28, 2026",Real Estate,REIT - Retail,UPTREND,MOVING DOWN,,No active BUY transition
AM,UNCHANGED,UNCHANGED,,SELL,"Jul 21, 2026",Energy,Oil & Gas Midstream,,,,Previously inactive symbol is absent
AMAL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 07, 2026",Financials,Banks - Regional,UPTREND,MOVING UP,,No active BUY transition
AMAT,UNCHANGED,UNCHANGED,SELL,SELL,"Jun 29, 2026",Technology,Semiconductor Equipment & Materials,DOWNTREND,MOVING UP,,No active BUY transition
AMBA,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 03, 2026",Technology,Semiconductor Equipment & Materials,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
AMBQ,UNCHANGED,UNCHANGED,,,,Technology,Semiconductors,DOWNTREND,,,No active BUY transition
AMCR,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Discretionary,Packaging & Containers,UPTREND,MOVING DOWN,,No active BUY transition
AMCX,REMOVED,❌ REMOVED,,BUY,"Aug 05, 2026",Communication,Entertainment,,,,Prior BUY is missing or no longer rated BUY
AME,LEADER,🚀 LEADER,BUY,BUY,"Jul 24, 2026",Industrials,Specialty Industrial Machinery,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMG,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 14, 2026",Financials,Asset Management,UPTREND,MOVING DOWN,,No active BUY transition
AMGN,LEADER,🚀 LEADER,BUY,BUY,"Jul 28, 2026",Health Care,Drug Manufacturers - General,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMH,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 05, 2026",Real Estate,REIT - Residential,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
AMKR,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 06, 2026",Technology,Semiconductor Equipment & Materials,DOWNTREND,MOVING UP,,No active BUY transition
AMLX,UNCHANGED,UNCHANGED,,SELL,"Aug 14, 2026",Health Care,Drug Manufacturers - Specialty & Generic,,,,Previously inactive symbol is absent
AMP,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 10, 2026",Financials,Asset Management,UPTREND,MOVING DOWN,,No active BUY transition
AMPH,REMOVED,❌ REMOVED,,BUY,"Jul 30, 2026",Health Care,Drug Manufacturers - Specialty & Generic,,,,Prior BUY is missing or no longer rated BUY
AMPL,REMOVED,❌ REMOVED,,BUY,"Aug 04, 2026",Technology,Software - Application,,,,Prior BUY is missing or no longer rated BUY
AMPX,UNCHANGED,UNCHANGED,,,,Industrials,Electrical Equipment & Parts,,,,Previously inactive symbol is absent
AMR,LEADER,🚀 LEADER,BUY,BUY,"Aug 13, 2026",Materials,Coking Coal,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMRC,LEADER,🚀 LEADER,BUY,BUY,"Aug 10, 2026",Industrials,Engineering & Construction,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMRN,UNCHANGED,UNCHANGED,,SELL,"Jul 08, 2026",Health Care,Drug Manufacturers - General,,,,Previously inactive symbol is absent
AMRX,UNCHANGED,UNCHANGED,,SELL,"Jul 08, 2026",Health Care,Drug Manufacturers - Specialty & Generic,,,,Previously inactive symbol is absent
AMSF,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 16, 2026",Financials,Insurance - Specialty,DOWNTREND,MOVING DOWN,,No active BUY transition
AMT,LEADER,🚀 LEADER,BUY,BUY,"Jul 31, 2026",Real Estate,REIT - Specialty,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMTB,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 11, 2026",Financials,Banks - Regional,UPTREND,MOVING DOWN,,No active BUY transition
AMTM,UNCHANGED,UNCHANGED,,,,Industrials,Specialty Business Services,,,,Previously inactive symbol is absent
AMWL,REMOVED,❌ REMOVED,,BUY,"Aug 07, 2026",Health Care,Health Information Services,,,,Prior BUY is missing or no longer rated BUY
AMX,UNCHANGED,UNCHANGED,,SELL,"Jul 02, 2026",Communication,Telecom Services,,,,Previously inactive symbol is absent
AMZN,LEADER,🚀 LEADER,BUY,BUY,"Aug 03, 2026",Discretionary,Internet Retail,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AN,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 11, 2026",Discretionary,Auto & Truck Dealerships,UPTREND,MOVING DOWN,,No active BUY transition
ANAB,NEW_BUY,NEW BUY,BUY,SELL,"Aug 17, 2026",Health Care,Biotechnology,UPTREND,MOVING DOWN,,BUY triggered since the previous file
ANDE,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 30, 2026",Staples,Food Distribution,DOWNTREND,MOVING DOWN,,No active BUY transition
ANET,LEADER,🚀 LEADER,BUY,BUY,"Aug 05, 2026",Technology,Computer Hardware,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ANF,LEADER,🚀 LEADER,BUY,BUY,"Jul 30, 2026",Discretionary,Apparel Retail,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ANGO,REMOVED,❌ REMOVED,,BUY,"Aug 03, 2026",Health Care,Medical Instruments & Supplies,,,,Prior BUY is missing or no longer rated BUY
ANIK,REMOVED,❌ REMOVED,,BUY,"Aug 03, 2026",Health Care,Drug Manufacturers - Specialty & Generic,,,,Prior BUY is missing or no longer rated BUY
ANIP,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 13, 2026",Health Care,Drug Manufacturers - Specialty & Generic,DOWNTREND,MOVING DOWN,,No active BUY transition
ANRO,UNCHANGED,UNCHANGED,,,,Health Care,Biotechnology,UPTREND,,,No active BUY transition
ANSC,UNCHANGED,UNCHANGED,,,,Financials,Shell Companies,,,,Previously inactive symbol is absent
AOD,REMOVED,❌ REMOVED,,BUY,"Aug 04, 2026",Financials,Closed-End Fund - Foreign,,,,Prior BUY is missing or no longer rated BUY
AON,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 03, 2026",Financials,Insurance Brokers,NEUTRAL,MOVING DOWN,,No active BUY transition
AORT,LEADER,🚀 LEADER,BUY,BUY,"Jul 02, 2026",Health Care,Medical Devices,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AOS,LEADER,🚀 LEADER,BUY,BUY,"Jul 29, 2026",Industrials,Specialty Industrial Machinery,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AOSL,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 02, 2026",Technology,Semiconductors,DOWNTREND,MOVING UP,,No active BUY transition
AOUT,UNCHANGED,UNCHANGED,,SELL,"Jul 14, 2026",Discretionary,Leisure,,,,Previously inactive symbol is absent
APA,LEADER,🚀 LEADER,BUY,BUY,"Jul 22, 2026",Energy,Oil & Gas E&P,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APAM,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 14, 2026",Financials,Asset Management,UPTREND,MOVING DOWN,,No active BUY transition
APD,LEADER,🚀 LEADER,BUY,BUY,"Aug 11, 2026",Materials,Specialty Chemicals,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APEI,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 17, 2026",Staples,Education & Training Services,DOWNTREND,MOVING DOWN,,No active BUY transition
APG,LEADER,🚀 LEADER,BUY,BUY,"Aug 07, 2026",Industrials,Engineering & Construction,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APGE,UNCHANGED,UNCHANGED,,,,Health Care,Biotechnology,UPTREND,,,No active BUY transition
APH,LEADER,🚀 LEADER,BUY,BUY,"Aug 05, 2026",Technology,Electronic Components,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APLE,UNCHANGED,UNCHANGED,,SELL,"Jul 24, 2026",Real Estate,REIT - Hotel & Motel,,,,Previously inactive symbol is absent
APLM,UNCHANGED,UNCHANGED,,SELL,"Jul 27, 2026",Health Care,Biotechnology,,,,Previously inactive symbol is absent
APO,LEADER,🚀 LEADER,BUY,BUY,"Aug 04, 2026",Financials,Asset Management,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APOG,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 07, 2026",Industrials,Building Products & Equipment,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
APP,UNCHANGED,UNCHANGED,,,,Communication,Advertising Agencies,DOWNTREND,,,No active BUY transition
APPF,LEADER,🚀 LEADER,BUY,BUY,"Aug 05, 2026",Technology,Software - Application,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APPN,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Jul 30, 2026",Technology,Software - Infrastructure,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
APPS,REMOVED,❌ REMOVED,,BUY,"Aug 06, 2026",Technology,Software - Application,,,,Prior BUY is missing or no longer rated BUY
AR,LEADER,🚀 LEADER,BUY,BUY,"Jul 31, 2026",Energy,Oil & Gas E&P,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ARCB,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 30, 2026",Industrials,Trucking,DOWNTREND,MOVING DOWN,,No active BUY transition
ARCC,REMOVED,❌ REMOVED,,BUY,"Jul 14, 2026",Financials,Asset Management,,,,Prior BUY is missing or no longer rated BUY
ARDC,UNCHANGED,UNCHANGED,,SELL,"Jul 20, 2026",Financials,Closed-End Fund - Debt,,,,Previously inactive symbol is absent
ARDT,UNCHANGED,UNCHANGED,,,,Health Care,Medical Care Facilities,,,,Previously inactive symbol is absent
ARE,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 07, 2026",Real Estate,REIT - Office,DOWNTREND,MOVING DOWN,,No active BUY transition
ARES,LEADER,🚀 LEADER,BUY,BUY,"Jul 17, 2026",Financials,Asset Management,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ARGX,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 31, 2026",Health Care,Biotechnology,DOWNTREND,MOVING DOWN,,No active BUY transition
ARL,UNCHANGED,UNCHANGED,,SELL,"Jul 16, 2026",Real Estate,Real Estate Services,,,,Previously inactive symbol is absent
